127id,latitude,longitude,connection_order
3,56.719,21.079,66
3,56.944,20.759,67
3,57.179,20.463,68
3,57.424,20.192,69
3,57.676,19.946,70
3,57.936,19.726,71
3,58.203,19.536,72
3,58.475,19.375,73
3,58.752,19.245,74
3,59.033,19.147,75
3,59.316,19.083,76
3,59.6,19.053,77
3,59.885,19.058,78
3,60.17,19.1,79
3,60.452,19.178,80
3,60.731,19.295,81
3,61.006,19.449,82
3,61.275,19.643,83
3,61.538,19.875,84
3,61.793,20.145,85
3,62.038,20.453,86
3,62.273,20.8,87
3,62.496,21.182,88
3,62.706,21.601,89
3,62.902,22.053,90
3,63.083,22.537,91
3,63.248,23.052,92
3,63.397,23.595,93
3,63.527,24.162,94
3,63.638,24.752,95
3,63.731,25.36,96
3,63.803,25.984,97
3,63.855,26.619,98
3,63.886,27.263,99
3,63.897,27.91,100
4,59.187,25.3,1
4,59.176,25.856,2
4,59.146,26.409,3
4,59.095,26.955,4
4,59.025,27.493,5
4,58.934,28.017,6
4,58.825,28.527,7
4,58.698,29.019,8
4,58.553,29.49,9
4,58.391,29.939,10
4,58.213,30.363,11
4,58.021,30.76,12
4,57.814,31.129,13
4,57.594,31.469,14
4,57.362,31.778,15
4,57.12,32.056,16
4,56.868,32.301,17
4,56.608,32.513,18
4,56.341,32.693,19
4,56.068,32.839,20
4,55.79,32.952,21
4,55.508,33.032,22
4,55.225,33.08,23
4,54.94,33.096,24
4,54.655,33.08,25
4,54.371,33.034,26
4,54.089,32.957,27
4,53.811,32.852,28
4,53.537,32.719,29
4,53.269,32.559,30
4,53.006,32.373,31
4,52.751,32.162,32
4,52.505,31.927,33
4,52.267,31.67,34
4,52.038,31.391,35
4,51.821,31.093,36
4,51.614,30.775,37
4,51.42,30.441,38
4,51.238,30.089,39
4,51.069,29.723,40
4,50.914,29.343,41
4,50.773,28.951,42
4,50.646,28.548,43
4,50.535,28.135,44
4,50.439,27.713,45
4,50.358,27.284,46
4,50.293,26.849,47
4,50.244,26.41,48
4,50.212,25.967,49
4,50.195,25.523,50
4,50.195,25.077,51
4,50.212,24.633,52
4,50.244,24.19,53
4,50.293,23.751,54
4,50.358,23.316,55
4,50.439,22.887,56
4,50.535,22.465,57
4,50.646,22.052,58
4,50.773,21.649,59
4,50.914,21.257,60
4,51.069,20.877,61
4,51.238,20.511,62
4,51.42,20.159,63
4,51.614,19.825,64
4,51.821,19.507,65
4,52.038,19.209,66
4,52.267,18.93,67
4,52.505,18.673,68
4,52.751,18.438,69
4,53.006,18.227,70
4,53.269,18.041,71
4,53.537,17.881,72
4,53.811,17.748,73
4,54.089,17.643,74
4,54.371,17.566,75
4,54.655,17.52,76
4,54.94,17.504,77
4,55.225,17.52,78
4,55.508,17.568,79
4,55.79,17.648,80
4,56.068,17.761,81
4,56.341,17.907,82
4,56.608,18.087,83
4,56.868,18.299,84
4,57.12,18.544,85
4,57.362,18.822,86
4,57.594,19.131,87
4,57.814,19.471,88
4,58.021,19.84,89
4,58.213,20.237,90
4,58.391,20.661,91
4,58.553,21.11,92
4,58.698,21.581,93
4,58.825,22.073,94
4,58.934,22.583,95
4,59.025,23.107,96
4,59.095,23.645,97
4,59.146,24.191,98
4,59.176,24.744,99
4,59.187,25.3,100
5,54.957,30.56,1
5,54.947,31.056,2
5,54.917,31.549,3
5,54.867,32.037,4
5,54.797,32.517,5
5,54.709,32.987,6
5,54.601,33.443,7
5,54.476,33.885,8
5,54.333,34.308,9
5,54.174,34.713,10
5,53.998,35.096,11
5,53.808,35.456,12
5,53.603,35.791,13
5,53.386,36.101,14
5,53.157,36.384,15
5,52.917,36.64,16
5,52.667,36.867,17
5,52.408,37.065,18
5,52.143,37.233,19
5,51.871,37.372,20
5,51.594,37.482,21
5,51.313,37.561,22
5,51.03,37.612,23
5,50.745,37.633,24
5,50.46,37.626,25
5,50.176,37.591,26
5,49.894,37.528,27
